Desired Heading,Current Heading,Heading Difference,Movements,left_weightage,right_weightage
115.55,112.65,2.90,Forward Right tilt,,
115.55,109.68,5.87,Auto:Turning Right,,
115.55,110.59,4.96,Auto:Turning Forward,,
115.55,111.19,4.36,Forward Right tilt,,
115.55,108.00,7.55,Auto:Turning Forward,,
115.55,101.45,14.10,Forward Right tilt,,
115.55,95.19,20.36,Auto:Turning Forward,,
115.55,92.06,23.49,Forward Right tilt,,
115.55,95.62,19.93,Auto:Turning Forward,,
115.55,100.45,15.10,Forward Right tilt,,
115.55,103.10,12.45,Auto:Turning Forward,,
115.55,105.03,10.52,Forward Right tilt,,
